description,genre
the fever series in the blockbuster fever series karen marie moning creates a darkly erotic and paranormal world torn apart by the struggle between humans and fae now in a convenient ebook bundle here are the five thrillingly sexy novels featuring heroine mackayla lane darkfever bloodfever faefever dreamfever and shadowfever darkfever when her sister is murdered mackayla lane journeys to ireland in search of answers there she makes a startling discovery she s a sidhe seer which gives her the rare power to glimpse beyond the realm of man and into the dangerous realm of the fae as the boundary between the worlds begins to crumble mac becomes a target but her mission is clear find the sinsar dubh an ancient book that contains the key to controlling mortals and fae alike before the enemy seizes it bloodfever in her fight to stay alive mac must hunt the sinsar dubh a book of the blackest magic imaginable pursued by assassins and surrounded by mysterious figures she knows she cannot trust mac finds herself torn between two powerful men v lane the ancient immortal fae prince and jericho barrons a man as seductive as he is dangerous faefever when mac receives a page torn from her sister s journal she is stunned by its desperate contents now that mac knows her sister s killer is close she s on the hunt for revenge forced into a precarious alliance with v lane the lethal fae prince and jericho barrons a man of deadly secrets mac is soon locked in a battle for her body mind and soul dreamfever when the walls between man and fae come crashing down mac is caught in a lethal trap captured by the fae lord master she is left with no memory of who or what she is the only sidhe seer alive who can track the sinsar dubh clawing her way back from oblivion is only the first step mac must take down a perilous path from the battle filled streets of dublin into the realm of the fae where nothing is as it seems shadowfever in an epic battle between humans and fae the sinsar dubh turns on mac and begins to mow a deadly path through those she loves who can she trust but more important who is mac does an ancient prophecy reveal her destiny mac s journey will force her to face the truth and to make a choice that will either save the world or destroy it includes an electrifying excerpt from karen marie moning s new novel iced,Fantasy
transmetropolitan vol 3 year of the bastard investigative reporter spider jerusalem attacks the injustices of the 23rd century surroundings while working for the newspaper the word in this critically acclaimed graphic novel series written by comics superstar warren ellis the co creator of planetary and the authority in this third volume spider jerusalem begins to crumble under the pressure of sudden and unwanted fame having had enough of the warped 23rd century babylon that he lives in spider escapes into a world of bitterness and pills as he stumbles through this haze of depression and drugs he must find a way to cover the biggest story of the year the presidential election armed with only his demented mind and dark sense of humor spider embarks on an adventure of political cynicism horrific sex and unwelcome celebrity which culminates in a shocking and ruinous ending,Science Fiction
room to five year old jack room is the world told in the inventive funny and poignant voice of jack room is a celebration of resilience and a powerful story of a mother and son whose love lets them survive the impossible to five year old jack room is the entire world it is where he was born and grew up it s where he lives with his ma as they learn and read and eat and sleep and play at night his ma shuts him safely in the wardrobe where he is meant to be asleep when old nick visits room is home to jack but to ma it is the prison where old nick has held her captive for seven years through determination ingenuity and fierce motherly love ma has created a life for jack but she knows it s not enough not for her or for him she devises a bold escape plan one that relies on her young son s bravery and a lot of luck what she does not realize is just how unprepared she is for the plan to actually work told entirely in the language of the energetic pragmatic five year old jack room is a celebration of resilience and the limitless bond between parent and child a brilliantly executed novel about what it means to journey from one world to another,Thriller
world without end librarian s note an alternate cover edition can be found hereworld without end takes place in the same town of kingsbridge two centuries after the townspeople finished building the exquisite gothic cathedral that was at the heart of the pillars of the earth the cathedral and the priory are again at the center of a web of love and hate greed and pride ambition and revenge but this sequel stands on its own this time the men and women of an extraordinary cast of characters find themselves at a crossroads of new ideas about medicine commerce architecture and justice in a world where proponents of the old ways fiercely battle those with progressive minds the intrigue and tension quickly reach a boiling point against the devastating backdrop of the greatest natural disaster ever to strike the human race the black death,Historical Fiction
ogniem i mieczem ogniem i mieczem pierwsza z powie ci tworz cych trylogi przedstawia dzieje polski w dobie powstania chmielnickiego 1648 1654 pisarz staraj c si wzbudzi w czytelnikach patriotyczne uczucia nada powie ci cechy antycznego i rycerskiego eposu wprowadzi ba niowo oraz wyra ny podzia na bohater w reprezentuj cych dobro i z o jednoznacznie negatywn kwalifikacj moraln przypisa sienkiewicz zbuntowanym kozakom przedstawionym jako dni krwi barbarzy cy za polak w przedstawi jako odwa nych obro c w ojczyzny i prawych przestrzegaj cych rycerskiego kodeksu o nierzy w czarno bia y schemat wpisani zostali tak e wbrew prawdzie historycznej przyw dcy walcz cych stron g wnym w tkiem spajaj cym fabu pierwszej cz ci trylogii uczyni pisarz burzliwe dzieje mi o ci odwa nego rycerza bez skazy jana skrzetuskiego i urodziwej niewinnej szlachcianki heleny kurcewicz wny kt rzy rozdzieleni przez wrog w i przeciwno ci losu prze ywaj liczne perypetie uwolnienie dziewczyny przez zag ob i ich w dr wka w przebraniu ponowne wpadni cie w r ce bohuna wszystkie te przygody prowadz do szcz liwego zako czenia w kt rym bohaterowie spotykaj si i mog stan na lubnym kobiercu,Historical Fiction
tales of the unexpected a wine connoisseur with an infallible palate and a sinister taste in wagers a decrepit old man with a masterpiece tattooed on his back a voracious adventuress a gentle cuckold and a garden sculpture that becomes an instrument of sadistic vengeance social climbers who climb a bit too quickly philanderers whose deceptions are a trifle too ornate impeccable servants whose bland masks slip for one vertiginous instant in these deliciously nasty stories an internationally acclaimed practitioner of the short narrative works his own brand of black magic tantalizing amusing and sometimes terrifying readers into a new sense of what lurks beneath the ordinary included in roald dahl s tales of the unexpected are such notorious gems of the bizarre as the sound machine lamb to slaughter neck and the landlady cover illustration by seth jabencover design by heidi northcontents taste lamb to the slaughter man from the south my lady love my dove dip in the pool galloping foxley skin neck nunc dimittis the landlady william and mary the way up to heaven parson s pleasure mrs bixby and the colonel s coat royal jelly edward the conqueror the sound machine georgy porgy the hitchhiker poison the boy who talked with animals the umbrella man genesis and catastrophe the butler,Fantasy
the confession 1 new york times bestsellerfirst time in paperbackan innocent man is about to be executed only a guilty man can save him in 1998 in the small east texas city of sloan travis boyette abducted raped and strangled a popular high school cheerleader he buried her body so that it would never be found then watched in amazement as police and prosecutors arrested and convicted dont drumm a local football star and marched him off to death row now nine years have passed travis has just been paroled in kansas for a different crime dont is four days away from his execution travis suffers from an inoperable brain tumor for the first time in his miserable life he decides to do what s right and confess but how can a guilty man convince lawyers judges and politicians that they re about to execute an innocent man,Mystery
hourglass bianca will risk everything to be with lucas after escaping from evernight academy the vampire boarding school where they met bianca and lucas take refuge with black cross a fanatical group of vampire hunters bianca must hide her supernatural heritage or risk certain death at its hands but when black cross captures her friend the vampire balthazar hiding is no longer an option soon bianca and lucas are on the run again pursued not only by black cross but by the powerful leaders of evernight yet no matter how far they travel bianca can t escape her destiny bianca has always believed their love could survive anything but can it survive what s to come,Fantasy
await your reply the lives of three strangers interconnect in unforeseen ways and with unexpected consequences in acclaimed author dan chaon s gripping brilliantly written new novel longing to get on with his life miles cheshire nevertheless can t stop searching for his troubled twin brother hayden who has been missing for ten years hayden has covered his tracks skillfully moving stealthily from place to place managing along the way to hold down various jobs and seem to the people he meets entirely normal but some version of the truth is always concealed a few days after graduating from high school lucy lattimore sneaks away from the small town of pompey ohio with her charismatic former history teacher they arrive in nebraska in the middle of nowhere at a long deserted motel next to a dried up reservoir to figure out the next move on their path to a new life but soon lucy begins to feel quietly uneasy my whole life is a lie thinks ryan schuyler who has recently learned some shocking news in response he walks off the northwestern university campus hops on a bus and breaks loose from his existence which suddenly seems abstract and tenuous presumed dead ryan decides to remake himself through unconventional and precarious means await your reply is a literary masterwork with the momentum of a thriller an unforgettable novel in which pasts are invented and reinvented and the future is both seductively uncharted and perilously unmoored jacket,Thriller
the shepherd it is christmas eve 1957 and there are cozier places to be than the cockpit of a de havilland vampire fighter plane but for the royal air force pilot who has just taken off from west germany this single seat jet is the only way to make it back to england for christmas morning his flight plan is simple the fuel tank is full in sixty six minutes he will be back in blighty but then the plane begins to fail first the compass goes haywire then the radio dies lost and alone above the english coast the pilot is searching for a landing strip when the fog closes in signaling certain death he has given up hope when a second shadow appears a mosquito fighter bomber of world war ii vintage the plane is a shepherd guiding the vampire to a safe landing and its appearance is a gift from fate a miracle out of time but for one lonely pilot the mystery has just begun,Historical Fiction
the naked sun like all earthmen detective elijah baley has a terror of open landscape of the naked sun reacting in fear of the technological superiority of the outer worlds the people of earth have hidden themselves in vast underground cities nursing a hatred for spacers the fifty outer worlds of the spacers together are home to fewer people than planet earth and home to many many more robots earthmen hate spacer robots too but baley doesn t he once had a robot partner r daneel and when the authorities of the planet solaria request terrestrial assistance in investigating a murder baley is once again teamed with daneel he is the first earthmen in a millennium to travel to the outer worlds and he must endure the glare of a sun far more deadly than earth s,Mystery
hereafter can there truly be love after death drifting in the dark waters of a mysterious river the only thing amelia knows for sure is that she s dead with no recollection of her past life or her actual death she s trapped alone in a nightmarish existence all of this changes when she tries to rescue a boy joshua from drowning in her river as a ghost she can do nothing but will him to live yet in an unforgettable moment of connection she helps him survive amelia and joshua grow ever closer as they begin to uncover the strange circumstances of her death and the secrets of the dark river that held her captive for so long but even while they struggle to keep their bond hidden from the living world a frightening spirit named eli is doing everything in his power to destroy their newfound happiness and drag amelia back into the ghost world forever thrilling and evocative with moments of pure pleasure hereafter is a sensation you won t want to miss,Fantasy
down and out in the magic kingdom on the skids in the transhuman futurejules is a young man barely a century old he s lived long enough to see the cure for death and the end of scarcity to learn ten languages and compose three symphonies and to realize his boyhood dream of taking up residence in disney world disney world the greatest artistic achievement of the long ago twentieth century now in the keeping of a network of ad hocs who keep the classic attractions running as they always have enhanced with only the smallest high tech touches now though the ad hocs are under attack a new group has taken over the hall of the presidents and is replacing its venerable audioanimatronics with new immersive direct to brain interfaces that give guests the illusion of being washington lincoln and all the others for jules this is an attack on the artistic purity of disney world itself worse it appears this new group has had jules killed this upsets him it s only his fourth death and revival after all now it s war,Science Fiction
the krishna key five thousand years ago there came to earth a magical being called krishna who brought about innumerable miracles for the good of mankind humanity despaired of its fate if the blue god were to die but was reassured that he would return in a fresh avatar when needed in the eventual dark age the kaliyug in modern times a poor little rich boy grows up believing that he is that final avatar only he is a serial killer in this heart stopping tale the arrival of a murderer who executes his gruesome and brilliantly thought out schemes in the name of god is the first clue to a sinister conspiracy to expose an ancient secret krishna s priceless legacy to mankind historian ravi mohan saini must breathlessly dash from the submerged remains of dwarka and the mysterious lingam of somnath to the icy heights of mount kailash in a quest to discover the cryptic location of krishna s most prized possession from the sand washed ruins of kalibangan to a vrindavan temple destroyed by aurangzeb saini must also delve into antiquity to prevent a gross miscarriage of justice ashwin sanghi brings you yet another exhaustively researched whopper of a plot while providing an incredible alternative interpretation of the vedic age that will be relished by conspiracy buffs and thriller addicts alike,Thriller
the seven husbands of evelyn hugo aging and reclusive hollywood movie icon evelyn hugo is finally ready to tell the truth about her glamorous and scandalous life but when she chooses unknown magazine reporter monique grant for the job no one is more astounded than monique herself why her why now monique is not exactly on top of the world her husband has left her and her professional life is going nowhere regardless of why evelyn has selected her to write her biography monique is determined to use this opportunity to jumpstart her career summoned to evelyn s luxurious apartment monique listens in fascination as the actress tells her story from making her way to los angeles in the 1950s to her decision to leave show business in the 80s and of course the seven husbands along the way evelyn unspools a tale of ruthless ambition unexpected friendship and a great forbidden love monique begins to feel a very real connection to the legendary star but as evelyn s story near its conclusion it becomes clear that her life intersects with monique s own in tragic and irreversible ways,Historical Fiction
effacement the development of the neurochip requires everyone to record every aspect of their life into a lifelog you can t get insurance open a bank account or hold a job without one surveillance has become a way of life in the us and the government continues to crack down dr cole westbay has been a driving force for bionarratus maker of the neurochip that revolutionized the world when his company is accused of being behind a series of recent deaths cole investigates to clear their name instead he ends up attacked with no memory of recent events and his neurochip destroyed in the process of trying to figure out who is behind his attack he ends up losing trust in everyone he loves and is forced to rely on a group of strangers living off the grid as he pieces his life back together he finds himself the target of every news agency in north america and the centerpiece of a government cover up can he stop them from killing more innocents before they shut him up permanently,Science Fiction
post captain post captain the second in patrick o brian s much loved aubrey maturin series of novels begins with jack aubrey returning to an england at peace following the treaty of amiens with his friend stephen maturin he begins to live the life of a country gentleman but their comfortable existence is cut short when jack is reduced to a pauper overnight he flees to the continent to seek refuge only to find himself a hunted fugitive from napoleon s regime aubrey s adventures in escaping from both france and the debtor s prison will grip the reader as fast as his unequalled actions at sea,Historical Fiction
captured blood slave captured taken from her beloved family and woods aria s biggest fear is not the imminent death facing her but that she will be chosen as a blood slave for a member of the ruling vampire race no matter what becomes of her though aria knows that she must keep her identity hidden from the monsters imprisoning her she has already been branded a member of the rebellion but the vampires do not know the true depth of her involvement with it and they must never know though hoping for death aria s world is turned upside down when a vampire named braith steps forward to claim her he delays her execution but aria knows it s only a matter of time before he drains her and destroys her especially once she learns his true identity as a prince within the royal family the same royal family that started the war that ultimately brought down humankind reducing them to nothing more than servants and slaves aria is determined to hate the prince determined not to give into him in anyway but his strange kindness and surprising gentleness astonish her torn between her loyalties to the rebellion and her growing love for her greatest enemy aria struggles to decide between everything she has ever known and a love she never dreamed of finding mature ya new adult this book contains some language violence and sexual situations recommended for ages sixteen and up edited by leslie mitchell at g2 freelance editing and re released 2 6 13 extended edition,Fantasy
don t look back samantha is a stranger in her own life until the night she disappeared with her best friend cassie everyone said sam had it all popularity wealth and a dream boyfriend sam has resurfaced but she has no recollection of who she was or what happened to her that night as she tries to piece together her life from before she realizes it s one she no longer wants any part of the old sam took mean girl to a whole new level and it s clear she and cassie were more like best enemies sam is pretty sure that losing her memories is like winning the lottery she s getting a second chance at being a better daughter sister and friend and she s falling hard for carson ortiz a boy who has always looked out for her even if the old sam treated him like trash but cassie is still missing and the truth about what happened to her that night isn t just buried deep inside of sam s memory someone else knows someone who wants to make sure sam stays quiet all sam wants is the truth and if she can unlock her clouded memories of that fateful night she can finally move on but what if not remembering is the only thing keeping sam alive,Thriller
never look away in this tense mesmerizing thriller by linwood barclay critically acclaimed author of fear the worst and too close to home a man s life unravels around him when the unthinkable strikes a warm summer saturday an amusement park david harwood is glad to be spending some quality time with his wife jan and their four year old son but what begins as a pleasant family outing turns into a nightmare after an inexplicable disappearance a frantic search only leads to an even more shocking and harrowing turn of events until this terrifying moment david harwood is just a small town reporter in need of a break his paper the promise falls standard is struggling to survive then he gets a lead that just might be the answer to his prayers a potential scandal involving a controversial development project for the outskirts of this picturesque upstate new york town it s a hot button issue that will surely sell papers and help reverse the standard s fortunes but strangely david s editors keep shooting it down why that s a question no longer at the top of david s list now the only thing he cares about is restoring his family desperate for any clue david dives into his own investigation and into a web of lies and deceit for with every new piece of evidence he uncovers david finds more questions and moves ever closer to a shattering truth,Mystery
skinned the download was supposed to change the world it was supposed to mean the end of aging the end of death the birth of a new humanity but it wasn t supposed to happen to someone like lia kahn and it wasn t supposed to ruin her life lia knows she should be grateful she didn t die in the accident the download saved her but it also changed her forever she can deal with being a freak she can deal with the fear in her parents eyes and the way her boyfriend flinches at her touch but she can t deal with what she knows deep down every time she forces herself to look in the mirror she s not the same person she used to be maybe she s not even a person at all,Science Fiction
the hook up the rules no kissing on the mouth no staying the night no telling anyone and above all no falling in loveanna jones just wants to finish college and figure out her life falling for star quarterback drew baylor is certainly not on her to do list confident and charming he lives in the limelight and is way too gorgeous for his own good if only she could ignore his heated stares and stop thinking about doing hot and dirty things with him easy right too bad he s committed to making her break every rule football has been good to drew it s given him recognition two national championships and the heisman but what he really craves is sexy yet prickly anna jones her cutting humor and blatant disregard for his fame turns him on like nothing else but there s one problem she s shut him down completely that is until a chance encounter leads to the hottest sex of their lives along with the possibility of something great unfortunately anna wants it to remain a hook up now it s up to drew to tempt her with more more sex more satisfaction more time with him until she s truly hooked it s a good thing drew knows all about winning all s fair in love and football game on,Romance
a season in hell and the drunken boat although arthur rimbaud stopped writing at the age of 19 he possessed the most revolutionary talent of the century his poetry amp prose have increasingly influenced major writers to his masterpiece a season in hell is here added rimbaud s longest amp possibly greatest single poem the drunken boat with the original french en face illuminations rimbaud s major works are available as bilingual new directions paperbooks the reputation of a season in hell which is a poetic record of a man s examination of his own depths has steadily increased over the years upon the 1st publication of varese s translation by new directions the saturday review wrote one may at last suggest that the translation of a season in hell has reached a conclusive point concerning the 25 stanza the drunken boat dr enid starkie of oxford university has written it s an anthology of separate lines of astonishing evocative magic which linger in the mind like isolated jewels rimbaud s life was so extraordinary that it has taken on the quality of a myth a biographical chronology is included,Historical Fiction
an evil mind a freak accident in rural wyoming leads the sheriff s department to arrest a man for a possible double homicide but further investigations suggest a much more horrifying discovery a serial killer who has been kidnapping torturing and mutilating victims all over the united states for at least twenty five years the suspect claims he is a pawn in a huge labyrinth of lies and deception can he be believed the case is immediately handed over to the fbi but this time they re forced to ask for outside help ex criminal behaviour psychologist and lead detective with the ultra violent crime unit of the lapd robert hunter is asked to run a series of interviews with the apprehended man these interviews begin to reveal terrifying secrets that no one could ve foreseen including the real identity of a killer so elusive that no one not even the fbi had any idea he existed until now,Mystery
the sisterhood inside boston doctors hospital patients are dying in the glare of the operating room they survive the surgeon s knife but in the dark hollow silence of the night they die suddenly inexplicably horribly a tough bright doctor will risk his very life for a dedicated young nurse who unknowingly holds the answers,Thriller
numbers ever since she was child jem has kept a secret whenever she meets someone new no matter who as soon as she looks into their eyes a number pops into her head that number is a date the date they will die burdened with such awful awareness jem avoids relationships until she meets spider another outsider and takes a chance the two plan a trip to the city but while waiting to ride the eye ferris wheel jem is terrified to see that all the other tourists in line flash the same number today s number today s date terrorists are going to attack london jem s world is about to explode,Fantasy
haunted is it possible to be haunted by someone who isn t even dead suze is used to trouble but this time she s in deep ghostly jesse has her heart but paul slater a real flesh and blood guy is warm for her form and mediator paul knows how to send jesse to the great beyond for good paul claims he won t do anything to jesse as long as suze will go out with him fearing she ll lose jesse forever suze agrees but even if suze can get jesse to admit his true feelings for her what kind of future can she have with a guy who s already dead,Fantasy
nine stories nine stories 1953 is a collection of short stories by american fiction writer j d salinger published in april 1953 it includes two of his most famous short stories a perfect day for bananafish and for esm with love and squalor nine stories is the u s title the book is published in many other countries as for esm with love and squalor and other stories the stories are a perfect day for bananafish uncle wiggily in connecticut just before the war with the eskimos the laughing man down at the dinghy for esm with love and squalor pretty mouth and green my eyes de daumier smith s blue period teddy,Romance
angelology abandoned as a child on the steps of st rose convent in new york evangeline cacciatore grew up knowing little of her parents assisting a scholar in the convent one day she uncovers a disturbing secret conected to her family,Fantasy
the man who mistook his wife for a hat and other clinical tales in his most extraordinary book oliver sacks recounts the stories of patients lost in the bizarre apparently inescapable world of neurological disorders these are case studies of people who have lost their memories and with them the greater part of their pasts who are no longer able to recognize people or common objects whose limbs have become alien who are afflicted and yet are gifted with uncanny artistic or mathematical talents in dr sacks splendid and sympathetic telling each tale is a unique and deeply human study of life struggling against incredible adversity,Science Fiction
second foundation so far the foundation was safe but there was a hidden second foundation to protect the first the mule has yet to find it but he was getting closer all the time the men of the foundation sought it too to escape from mule s mind control only arkady a 14 year old girl seemed to have the answer or did she,Science Fiction
redback commander bryn gideon and the crack australian redback retrieval team rescue hostages from pacific island rebels american journalist scott dreher researching computer war game training uncovers links between western government agencies and known terrorist groups meanwhile ritual killings in london and tokyo a bomb on a european train an assassination on an australian beach and an attack on a us army base have half the world on high alert the question is are these incidents the work of isolated opportunistic terrorists or part of something more sinister,Thriller
the runaway king a kingdom teetering on the brink of destruction a king gone missing who will survive just weeks after jaron has taken the throne an assassination attempt forces him into a deadly situation rumors of a coming war are winding their way between the castle walls and jaron feels the pressure quietly mounting within carthya soon it becomes clear that deserting the kingdom may be his only hope of saving it but the further jaron is forced to run from his identity the more he wonders if it is possible to go too far will he ever be able to return home again or will he have to sacrifice his own life in order to save his kingdom the stunning second installment of the ascendance trilogy takes readers on a roller coaster ride of treason and murder thrills and peril as they journey with the runaway king,Historical Fiction
wild at heart discovering the secret of a man s soul god designed men to be dangerous says john eldredge simply look at the dreams and desires written in the heart of every boy to be a hero to be a warrior to live a life of adventure and risk sadly most men abandon those dreams and desires aided by a christianity that feels like nothing more than pressure to be a nice guy it is no wonder that many men avoid church and those who go are often passive and bored to death in this provocative book eldredge gives women a look inside the true heart of a man and gives men permission to be what god designed them to be dangerous passionate alive and free,Science Fiction
the hurricane emily mccarthy is living in fear of a dark and dangerous past a gifted mathematician she is little more than a hollow broken shell trying desperately to make ends meet long enough to finish her degree through an unlikely friendship with the aging cantankerous owner of an old boxing gym em is thrown into the path of the most dangerous man that she has ever met cormac the hurricane o connell is cut tattooed and dangerous he is a lethal weapon with no safety and everyone is waiting for the mis fire he s never been knocked out before but when he meet em he falls hard unlike any other girl he s ever met she doesn t want anything from him but just being around her makes him want to be a better person they are polar opposites who were never meant to find each other but some things are just worth the fight,Romance
cold waters from usa today bestselling author debbie herbert comes a thrilling story of murder and madness set in the darkest corner of alabama everyone thinks fourteen year old violet is a murderer after a summer night swim with her best friend ainsley violet is found confused wandering in the forest and ainsley s never seen again but without a body murder charges won t stick so violet is sent away after more than a decade in a psychiatric ward violet returns to her broken down hometown of normal alabama to claim her dead mother s inheritance and help her overworked sister care for their unstable alcoholic father violet still haunted by that night eleven years ago endures horrific flashbacks and twisted hallucinations while townsfolk spit accusations and for all she knows they re right as the summer heats up details of ainsley s fate appear like a beast s wild eyes watching in the darkness and grim revelations about violet s family threaten to devour her already on the edge of madness violet must fight to keep her sanity long enough for the terrible truth to burst from the cold dark waters,Mystery
i will wait for you eternal bliss sidney scofield and alexandra deveaux spent the first thirty years of their lives not feeling the necessity of being someone s other half that changed dramatically the moment they met they knew from colorado to maryland to ireland the magic prevailed not even death could stop them from being together she waited for him he waited for her matt and misha would be sad when they arrived but if only they knew the beauty of it,Romance
the maze of the beast the next missing gem from the magical belt of deltora lies hidden in the underwater lair of the hideous and ferocious glus lief barda and jasmine must summon all their strength and courage to make it through the maze of the beast,Fantasy
